epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,8980.65,1.37521,1.4828,1.76376,0.4708,0.58013,0.52593,0.26787,1.79718,1.65867,2.46477,0.000126598,0.000126598,0.000126598
181,9031.35,1.37246,1.47072,1.7596,0.60347,0.4863,0.53097,0.25426,1.77869,1.63076,2.44621,0.000121099,0.000121099,0.000121099
182,9081.58,1.38312,1.46288,1.76058,0.52397,0.51189,0.52927,0.25532,1.78616,1.6217,2.42612,0.0001156,0.0001156,0.0001156
183,9130.73,1.36086,1.44069,1.74096,0.57642,0.51805,0.52179,0.25016,1.78828,1.6315,2.45509,0.0001101,0.0001101,0.0001101
184,9179.85,1.37257,1.44005,1.75521,0.45646,0.55876,0.51769,0.26064,1.77036,1.65021,2.44133,0.000104601,0.000104601,0.000104601
185,9229.57,1.37119,1.47181,1.78077,0.48223,0.56097,0.51826,0.25987,1.77433,1.66481,2.4382,9.91012e-05,9.91012e-05,9.91012e-05
186,9278.97,1.37527,1.46958,1.78062,0.56172,0.55338,0.53166,0.26398,1.77078,1.6216,2.4546,9.36017e-05,9.36017e-05,9.36017e-05
187,9328.65,1.3614,1.42297,1.73496,0.55101,0.52459,0.53116,0.26724,1.77514,1.62247,2.44801,8.81023e-05,8.81023e-05,8.81023e-05
188,9378.41,1.34865,1.43784,1.73402,0.4689,0.58482,0.52482,0.26878,1.77214,1.60715,2.43841,8.26028e-05,8.26028e-05,8.26028e-05
189,9429.46,1.35572,1.43559,1.75104,0.57351,0.51788,0.53085,0.26778,1.76787,1.60477,2.42261,7.71034e-05,7.71034e-05,7.71034e-05
190,9478.9,1.33993,1.41617,1.7507,0.47208,0.59333,0.53013,0.27424,1.77291,1.63272,2.42309,7.1604e-05,7.1604e-05,7.1604e-05
191,9531.21,1.29087,1.32345,1.75504,0.5814,0.47363,0.53455,0.25959,1.81095,1.61752,2.49952,6.61045e-05,6.61045e-05,6.61045e-05
192,9580.21,1.24034,1.24711,1.71628,0.53327,0.55196,0.54005,0.26707,1.79048,1.61562,2.47639,6.06051e-05,6.06051e-05,6.06051e-05
193,9629.04,1.27629,1.28949,1.75259,0.44348,0.56786,0.52873,0.25641,1.80181,1.6145,2.50443,5.51056e-05,5.51056e-05,5.51056e-05
194,9678.6,1.26023,1.2674,1.73063,0.51566,0.49145,0.51744,0.25896,1.79177,1.64089,2.50331,4.96062e-05,4.96062e-05,4.96062e-05
195,9727.53,1.24579,1.24541,1.72341,0.55704,0.49989,0.52438,0.26557,1.79575,1.62886,2.49618,4.41067e-05,4.41067e-05,4.41067e-05
196,9776.77,1.24925,1.25703,1.7458,0.45922,0.59859,0.52904,0.26889,1.78409,1.61008,2.48672,3.86073e-05,3.86073e-05,3.86073e-05
197,9826.02,1.25292,1.26509,1.74402,0.54055,0.55199,0.54724,0.26834,1.78367,1.59321,2.49291,3.31078e-05,3.31078e-05,3.31078e-05
198,9874.98,1.2349,1.23471,1.71695,0.54427,0.53799,0.55379,0.27054,1.77775,1.5907,2.47959,2.76084e-05,2.76084e-05,2.76084e-05
199,9924.44,1.22946,1.24671,1.72752,0.53544,0.52154,0.53378,0.26867,1.77704,1.58721,2.46881,2.21089e-05,2.21089e-05,2.21089e-05
200,9973.16,1.20365,1.21246,1.69397,0.53729,0.52508,0.53669,0.26715,1.77685,1.59083,2.47575,1.66095e-05,1.66095e-05,1.66095e-05
